"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.06665 0.7015 0.7225
0.06675 0.6241 0.6493
0.06685 0.6307 0.6565
0.06695 0.6211 0.6463
0.06705 0.6349 0.6571
0.06715 0.6193 0.6463
0.06725 0.6343 0.6577
0.06735 0.6223 0.6481
0.06745 0.6493 0.6691
0.06755 0.6049 0.6349
0.06764 0.6337 0.6571
0.06774 0.6528 0.6744
0.06784 0.6421 0.6661
0.06794 0.6337 0.6589
0.06804 0.6349 0.6589
0.06814 0.6373 0.6613
0.06824 0.6313 0.6553
0.06834 0.6241 0.6505
0.06844 0.6403 0.6619
0.06854 0.6205 0.6439
0.06864 0.6277 0.6511
0.06874 0.6463 0.6691
0.06884 0.6265 0.6541
0.06894 0.6385 0.6589
0.06904 0.6415 0.6661
0.06913 0.6451 0.6673
0.06923 0.6325 0.6559
0.06933 0.6463 0.6685
0.06943 0.6301 0.6529
0.06953 0.6319 0.6553
0.06963 0.6337 0.6601
0.06973 0.6397 0.6631
0.06983 0.6271 0.6523
0.06993 0.6295 0.6529
0.07003 0.6967 0.7183
0.07013 0.6559 0.6757
0.07023 0.6138 0.6414
0.07033 0.6373 0.6589
0.07043 0.6367 0.6613
0.07053 0.6433 0.6673
0.07062 0.6391 0.6613
0.07072 0.6271 0.6529
0.07082 0.6493 0.6715
0.07092 0.6529 0.6757
0.07102 0.6355 0.6571
0.07112 0.6403 0.6649
0.07122 0.6463 0.6715
0.07132 0.6415 0.6643
0.07142 0.6283 0.6541
0.07152 0.6469 0.6685
0.07162 0.6565 0.6787
0.07172 0.6193 0.6433
0.07182 0.6145 0.6433
0.07192 0.6487 0.6709
0.07202 0.6427 0.6673
0.07211 0.6391 0.6625
0.07221 0.6397 0.6625
0.07231 0.6445 0.6679
0.07241 0.6529 0.6739
0.07251 0.6277 0.6529
0.07261 0.6481 0.6703
0.07271 0.6468 0.6708
0.07281 0.6151 0.6403
0.07291 0.6397 0.6619
0.07301 0.6391 0.6631
0.07311 0.6391 0.6631
0.07321 0.6355 0.6619
0.07331 0.6415 0.6649
0.07341 0.6739 0.6919
0.07351 0.7117 0.7315
0.07360 0.6397 0.6631
0.07370 0.6403 0.6613
0.07380 0.6397 0.6637
0.07390 0.6283 0.6565
0.07400 0.6409 0.6619
0.07410 0.6337 0.6577
0.07420 0.6409 0.6673
0.07430 0.6481 0.6715
0.07440 0.6457 0.6685
0.07450 0.6391 0.6619
0.07460 0.6589 0.6823
0.07470 0.6337 0.6583
0.07480 0.6343 0.6577
0.07490 0.6187 0.6451
0.07500 0.6385 0.6625
0.07509 0.6325 0.6571
0.07519 0.6294 0.6540
0.07529 0.6487 0.6685
0.07539 0.6343 0.6601
0.07549 0.6367 0.6601
0.07559 0.6577 0.6811
0.07569 0.6553 0.6775
0.07579 0.6499 0.6739
0.07589 0.6211 0.6469
0.07599 0.6247 0.6511
0.07609 0.6427 0.6637
0.07619 0.6451 0.6673
0.07629 0.6325 0.6589
0.07639 0.6529 0.6727
0.07649 0.6421 0.6673
0.07658 0.6637 0.6853
0.07668 0.6199 0.6445
0.07678 0.6553 0.6775
0.07688 0.6397 0.6631
0.07698 0.6667 0.6895
0.07708 0.6727 0.6949
0.07718 0.6649 0.6847
0.07728 0.6529 0.6739
0.07738 0.6487 0.6733
0.07748 0.6535 0.6757
0.07758 0.6463 0.6703
0.07768 0.6348 0.6618
0.07778 0.6205 0.6445
0.07788 0.6349 0.6577
0.07798 0.6385 0.6619
0.07807 0.6553 0.6751
0.07817 0.6421 0.6673
0.07827 0.6781 0.6967
0.07837 0.6619 0.6871
0.07847 0.6487 0.6703
0.07857 0.6277 0.6517
0.07867 0.6415 0.6643
0.07877 0.6493 0.6757
0.07887 0.6271 0.6511
0.07897 0.6583 0.6817
0.07907 0.6505 0.6715
0.07917 0.6571 0.6805
0.07927 0.6457 0.6679
0.07937 0.6349 0.6571
0.07947 0.6433 0.6691
0.07956 0.6295 0.6535
0.07966 0.6307 0.6553
0.07976 0.6373 0.6601
0.07986 0.6373 0.6655
0.07996 0.6721 0.6895
0.08006 0.6420 0.6672
0.08016 0.6313 0.6547
0.08026 0.6253 0.6487
0.08036 0.6415 0.6655
0.08046 0.6421 0.6667
0.08056 0.6535 0.6757
0.08066 0.7363 0.7561
0.08076 0.6493 0.6733
0.08086 0.6577 0.6781
0.08096 0.6487 0.6733
0.08105 0.6787 0.6967
0.08115 0.6409 0.6685
0.08125 0.6283 0.6529
0.08135 0.6469 0.6685
0.08145 0.6577 0.6811
0.08155 0.6103 0.6367
0.08165 0.6433 0.6673
0.08175 0.6595 0.6811
0.08185 0.6499 0.6733
0.08195 0.6367 0.6601
0.08205 0.6403 0.6619
0.08215 0.6361 0.6625
0.08225 0.6529 0.6745
0.08235 0.6379 0.6619
0.08245 0.6391 0.6631
0.08254 0.6558 0.6768
0.08264 0.6313 0.6571
0.08274 0.6559 0.6781
0.08284 0.6529 0.6739
0.08294 0.6475 0.6721
0.08304 0.6469 0.6691
0.08314 0.6589 0.6811
0.08324 0.6349 0.6601
0.08334 0.6601 0.6805
0.08344 0.6433 0.6655
0.08354 0.6553 0.6781
0.08364 0.6421 0.6661
0.08374 0.6271 0.6529
0.08384 0.6583 0.6799
